jst_sku_id,skuCode,skuName,category,brand,item_type,format_type
6955631314528,6955631314528,-蛋糕崽,成品 - 成品,EMIE,finished_good,13-digit
6955631313316,6955631313316,-酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631314801,6955631314801,-酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631314597,6955631314597,-酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631314306,6955631314306,-酷洛米KU,成品 - 成品,EMIE,finished_good,13-digit
6955631314603,6955631314603,-酷洛米款,成品 - 成品,EMIE,finished_good,13-digit
6955631315013,6955631315013,-风火轮,成品 - 成品,EMIE,finished_good,13-digit
6955631309883,6955631309883,001亿觅智能加热保温杯垫套装-Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631300675,6955631300675,001亿觅盲盒数据线(整盒)-,成品 - 成品,EMIE,finished_good,13-digit
6955631300002,6955631300002,001亿觅盲盒数据线-,成品 - 成品,EMIE,finished_good,13-digit
6955631310100,6955631310100,040亿觅三合一伸缩数据线-抱抱熊,成品 - 成品,EMIE,finished_good,13-digit
6955631310087,6955631310087,040亿觅三合一伸缩数据线-樱花,成品 - 成品,EMIE,finished_good,13-digit
6955631310094,6955631310094,040亿觅三合一伸缩数据线-甜心,成品 - 成品,EMIE,finished_good,13-digit
6955631310865,6955631310865,048 亿觅三合一伸缩数据线-KT圣诞喵-,成品 - 成品,EMIE,finished_good,13-digit
6955631312210,6955631312210,072 亿觅一拖三公仔伸缩充电线-CN,成品 - 成品,EMIE,finished_good,13-digit
6955631312227,6955631312227,072 亿觅一拖三公仔伸缩充电线-KT,成品 - 成品,EMIE,finished_good,13-digit
6955631312203,6955631312203,072 亿觅一拖三公仔伸缩充电线-KU,成品 - 成品,EMIE,finished_good,13-digit
6955631313903,6955631313903,1 儿童触屏小相机--CN,成品 - 成品,EMIE,finished_good,13-digit
6955631313910,6955631313910,1 儿童触屏小相机--KT,成品 - 成品,EMIE,finished_good,13-digit
